supplier_id,created_at,updated_at,name,methods,website,logo,slug,tagline,description,year_founded,geo_city,geo_country,twitter
1300fa26-729d-4140-bf67-1d97ab599e5c,2022-06-29 15:11:03,2022-06-29 15:11:03,RepAir,DAC,https://repair-carbon.com/,https://repair-carbon.com/wp-content/themes/repair/img/logo-desktop.svg,repair,,,,Tel Aviv,Israel,RepAir_Carbone
39adc86b-74a5-4849-9bca-a208af56c936,2022-06-21 03:04:22,2022-06-21 03:04:22,Pyrocal,Biochar,https://www.pyrocal.com.au/,https://images.squarespace-cdn.com/content/v1/5b20a5419772aeaf75c781c2/1528868381961-AA7WB2HHGYSXDB43XIAE/Pyrocal+Logo_RGB.png,pyrocal,,Pyrocal builds systems that provide waste management solutions for business and government.,,Wellcamp,Australia,
59e8b0a6-1113-46db-8117-a4eb2a25dd84,2022-06-21 03:20:57,2022-06-21 03:20:57,Hjelmsäters Egendom,Biocar,https://www.hjelmsater.se/,https://www.hjelmsater.se/wp-content/uploads/2021/01/Hjelmsa%CC%88ters-Fastigheter-logo-vit.svg,hjelmsaters,,,,Hällekis,Sweden,
5a1dad69-c77d-4884-ba87-6092283f9b49,2022-06-21 03:14:45,2022-06-21 03:14:45,Terra Fertilis,Biochar,https://terrafertilis.com/,https://terrafertilis.com/img/terra-fertilis-logo-16554786401.jpg,terrafertillis,,"Sylva Fertilis is producing and selling Terra fertilis biochar, and other natural and ecological products for the garden",,Caen,France,tfertilis
64136fd5-a8f8-4b58-b98b-a4041e972404,2022-07-10 06:47:03,2022-07-10 06:47:03,Premier Forest,Biochar,https://premierforest.co.uk/,https://premierforest.co.uk/wp-content/themes/premierforest2021/assets/images/usergroup-logo.png,premier-forest,,,,Newport,United Kingdom,premierforest
724a7d7e-7d9d-40eb-87d3-546424b374ea,2022-06-29 14:54:47,2022-06-29 14:54:47,AspiraDAC,DAC,https://www.aspiradac.com/,https://images.squarespace-cdn.com/content/v1/629ec8b60d34d83ed4c5d282/63f80d47-1748-4ae5-b03d-1bede6638e17/AspiraDAC-Logo-RGB-Black.png?format=1500w,aspiradac,,,,Sydney,Australia,
7c94b95a-3b18-4047-af6f-0e2ecdade0fa,2022-06-21 03:10:24,2022-06-21 03:10:24,Douglas County Forest Products,Biochar,http://www.dcfp.com/,http://www.dcfp.com/wp-content/uploads/2018/05/dcfp-logo-300-white.png,douglascountyforest,,"Douglas County Forest Products is an independently owned sawmill located in the scenic Umpqua Valley, near Roseburg, Oregon, on the I-5 corridor.",,Roseburg,United Status,
8e27a852-3095-443d-a30b-9088f6e59bf1,2022-06-29 15:13:17,2022-06-29 15:13:17,Travertine,Enhanced weathering,https://www.travertinetech.com/,https://images.squarespace-cdn.com/content/v1/6290f93477e88178495a62d4/d57ed3c9-9a00-4158-8354-60dff61978fb/Travertine_Logo-b-White-HEADER.png?format=1500w,Travertine,,,,Boulder,United States,
cc832277-5cfb-4a5a-beac-77b8c9e7d394,2022-07-13 16:59:01,2022-07-13 16:59:01,Silicate,Mineralisation,https://www.silicatecarbon.com/,"https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_388,h_85/https://www.silicatecarbon.com/wp-content/uploads/2021/10/Asset-26-8.png",silicate,,,,Dublin,Ireland,https://www.silicatecarbon.com/
cl4gop64y00308vmo2cugjz44,2022-06-16 07:11:59,2022-06-16 07:11:59,1PointFive,DAC,https://www.1pointfive.com/,https://logo.clearbit.com/1pointfive.com,1pointfive,,"Oxy Low Carbon Ventures have formed 1PointFive to drive change and jumpstart the Direct Air Capture industry around the world. ",,,,1PointFiveCCUS
